Team,Salary cap,Season,Wins,Losses,PCT,Postseason,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,101466920,,39,43,0.476,Missed Playoffs,43.2,93.1,0.464,11.3,29.9,0.378,31.9,63.2,0.504,16.5,22.7,0.726,11,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2
,86958881,,33,49,0.402,Missed Playoffs,38.8,86.9,0.447,12.5,36.6,0.34,26.3,50.2,0.524,18.8,25.3,0.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9
,79180081,,29,53,0.354,Missed Playoffs,41.4,91.8,0.451,13,37,0.352,28.4,54.8,0.518,17.6,23.4,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17,23.6,113.3
,137722926,,50,32,0.61,Playoffs,40.4,84.8,0.476,12,32.1,0.372,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9
,137610134,,58,24,0.707,Playoffs,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8,7.5,15.5,19.6,113
,134534640,,48,34,0.585,Playoffs,39.9,88.1,0.453,10.7,30.4,0.354,29.1,57.7,0.505,17.3,24.2,0.716,12.5,32.6,45.1,21.3,9.1,5,14,20.2,107.9
,133624374,,44,38,0.537,Playoffs,38.8,85.3,0.455,11,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4
,123306396,,43,39,0.524,Playoffs,39.9,85.6,0.467,9.9,26.5,0.375,30,59.1,0.508,16.8,21.8,0.772,10,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6
,120814452,,48,34,0.585,Playoffs,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8,5.9,14.9,19.1,111.7
,120521249,,44,38,0.537,Playoffs,39.7,83,0.478,8.8,24.7,0.355,31,58.3,0.531,18.3,23.4,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5
,119905532,,65,17,0.793,Playoffs,38.7,84.2,0.46,15.3,42.3,0.362,23.4,41.9,0.558,19.6,25.1,0.781,9,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4
,119773191,,39,43,0.476,Missed Playoffs,39.1,86.9,0.45,10.8,28.9,0.373,28.3,58,0.488,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8
,119093010,,42,40,0.512,Playoffs,40.3,85.4,0.471,9.5,26.8,0.354,30.8,58.6,0.525,19,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20,109
,118708146,,49,33,0.598,Playoffs,39.3,87,0.452,10.3,28.1,0.366,29,58.8,0.493,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7,5.2,13.5,19.5,105.6
,117382664,,36,46,0.439,Missed Playoffs,39,86.7,0.45,10,27.2,0.369,28.9,59.4,0.487,20.2,27,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2
,116929373,,59,23,0.72,Playoffs,41.3,87.4,0.472,11.8,33,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44,24.3,7.6,6.1,13.4,21.7,111.7
